"id","pesid","data_inversa","dia_semana","horario","uf","br","km","municipio","causa_acidente","tipo_acidente","classificacao_acidente","fase_dia","sentido_via","condicao_metereologica","tipo_pista","tracado_via","uso_solo","id_veiculo","tipo_veiculo","marca","ano_fabricacao_veiculo","tipo_envolvido","estado_fisico","idade","sexo","nacionalidade","naturalidade"
173758,446533,"01/01/2007","Segunda","03:15:00","GO","60","90.3","ANAPOLIS","Outras","Colisão com objeto fixo","Com Vítimas Feridas","Plena noite","Decrescente","Nublado","Dupla   ","Reta      ","Rural ","328123","Motocicletas","HONDA/CG 125 TITAN                                ","1999","Condutor","Ferido Grave",31,"Masculino","Brasil","Corumba De Goias"
173759,446521,"01/01/2007","Segunda","04:30:00","RJ","116","104","GUAPIMIRIM","Outras","Saída de Pista","Com Vítimas Feridas","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","328119","Automóvel","(null)","2002","Condutor","Ferido Leve ",22,"Não Informado","Brasil","Não Informado"
173759,446522,"01/01/2007","Segunda","04:30:00","RJ","116","104","GUAPIMIRIM","Outras","Saída de Pista","Com Vítimas Feridas","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","328119","Automóvel","(null)","2002","Passageiro","Ferido Leve ",-1,"Não Informado","Brasil","Não Informado"
173759,446523,"01/01/2007","Segunda","04:30:00","RJ","116","104","GUAPIMIRIM","Outras","Saída de Pista","Com Vítimas Feridas","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","328119","Automóvel","(null)","2002","Passageiro","Ferido Leve ",-1,"Não Informado","Brasil","Não Informado"
173761,446532,"01/01/2007","Segunda","05:20:00","SP","116","215","GUARULHOS","Falta de atenção","Colisão traseira","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Múltipla","Reta      ","Urbano","328125","Automóvel","GM/CORSA WIND                                     ","1999","Condutor","Ileso       ",52,"Masculino","Brasil","Não Informado"
173763,446829,"01/01/2007","Segunda","02:20:00","MG","381","832.5","SAO SEBASTIAO DA BELA VISTA","Outras","Saída de Pista","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","328269","Ônibus","SCANIA/MPOLO PARADISO R","2003","Condutor","Ileso       ",37,"Masculino","Brasil","Juiz De Fora"
173764,446556,"01/01/2007","Segunda","02:00:00","SC","101","117.2","ITAJAI","Desobediência à sinalização","Danos Eventuais","Sem Vítimas        ","Plena noite","Crescente  ","Nublado","Dupla   ","Cruzamento","Urbano","328134","Automóvel","GM/MONZA CLASSIC                                  ","1989","Condutor","Ileso       ",18,"Masculino","Brasil","Honorio Serpa"
173764,446559,"01/01/2007","Segunda","02:00:00","SC","101","117.2","ITAJAI","Desobediência à sinalização","Danos Eventuais","Sem Vítimas        ","Plena noite","Crescente  ","Nublado","Dupla   ","Cruzamento","Urbano","328137","Caminhão","M.BENZ/L 1513                                     ","1973","Condutor","Ileso       ",41,"Masculino","Brasil","Camboriu"
173767,446572,"01/01/2007","Segunda","03:00:00","RJ","116","132","MAGE","Velocidade incompatível","Saída de Pista","Com Vítimas Fatais ","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","328140","Camioneta","I/MMC PAJERO SP 4X4 XLS","2001","Condutor","Morto       ",18,"Masculino","Brasil","Não Informado"
173769,446576,"01/01/2007","Segunda","02:15:00","TO","153","439.7","BARROLANDIA","Outras","Atropelamento de pessoa","Com Vítimas Fatais ","Plena noite","Decrescente","Ignorada","Simples ","Reta      ","Rural ","(null)","(null)","(null)","(null)","Pedestre","Morto       ",37,"Masculino","Brasil","Miracema Do Tocantins"
