id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Cristalândia;Cristalândia III;BAECR3;EOL.CV.BA.032083-8.01;2025-05-01 00:30:00;6.656;0.0;10.503;13.591
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Curral de Pedras I;BAECP1;EOL.CV.BA.032345-4.01;2025-05-01 00:30:00;4.368;0.0;2.119;4.194
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Curral de Pedras II;BAECP2;EOL.CV.BA.032346-2.01;2025-05-01 00:30:00;3.893;0.0;2.226;4.831
NE;BA;Tipo II-C;Conj. Araçás;Da Prata;BAUEDP;EOL.CV.BA.030490-5.01;2025-05-01 00:30:00;11.121;0.0;18.8;20.613
NE;BA;Tipo II-C;Conj. Serra Azul;Damascena;BAUEDA;EOL.CV.BA.031338-6.01;2025-05-01 00:30:00;11.726;0.0;27.195;21.333
NE;BA;Tipo II-C;Conj. Delfina;Delfina I;BAEDF1;EOL.CV.BA.032357-8.01;2025-05-01 00:30:00;9.597;0.0;26.093;26.273
NE;BA;Tipo II-C;Conj. Delfina;Delfina II;BAEDF2;EOL.CV.BA.032358-6.01;2025-05-01 00:30:00;6.658;0.0;11.87;16.23
NE;BA;Tipo II-C;Conj. Delfina;Delfina III;BAEDF3;EOL.CV.BA.032521-0.01;2025-05-01 00:30:00;10.503;0.0;27.117;23.996
NE;BA;Tipo II-C;Conj. Delfina;Delfina IV;BAEDF4;EOL.CV.BA.032522-8.01;2025-05-01 00:30:00;9.495;0.0;7.533;7.319
NE;BA;Tipo II-C;Conj. Delfina;Delfina V;BAEDF5;EOL.CV.BA.032359-4.01;2025-05-01 00:30:00;8.352;0.0;16.41;16.95
NE;BA;Tipo II-C;Conj. Delfina;Delfina VI;BAEDF6;EOL.CV.BA.032523-6.01;2025-05-01 00:30:00;9.618;0.0;23.419;27.447
NE;BA;Tipo II-C;Conj. Delfina;Delfina VII;BAEDF7;EOL.CV.BA.032524-4.01;2025-05-01 00:30:00;11.601;0.0;29.1;24.766
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Diamante II;BAEDI2;EOL.CV.BA.032347-0.01;2025-05-01 00:30:00;6.6;0.0;4.81;1.989
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Diamante III;BAEDI3;EOL.CV.BA.032348-9.01;2025-05-01 00:30:00;1.206;0.0;0.114;0.616
NE;BA;Tipo II-C;Conj. Serra Azul;Dois Riachos;BAUEDR;EOL.CV.BA.031121-9.01;2025-05-01 00:30:00;13.018;0.0;28.397;9.97
NE;BA;Tipo II-C;Conj. Araçás;Dos Araçás;BAUEAR;EOL.CV.BA.030495-6.01;2025-05-01 00:30:00;9.193;0.0;14.222;17.871
NE;BA;Tipo II-C;Conj. Morrão;Dourados;BAUEDU;EOL.CV.BA.030778-5.01;2025-05-01 00:30:00;11.676;0.0;24.224;26.686
NE;BA;Tipo II-C;Conj. Curva dos Ventos;Emiliana;BAUEMI;EOL.CV.BA.030807-2.01;2025-05-01 00:30:00;9.935;0.0;21.917;21.218
NE;BA;Tipo II-C;Conj. Serra Azul;Esperança;BAUEEP;EOL.CV.BA.031355-6.01;2025-05-01 00:30:00;3.6;1.0;0.0;17.35
NE;BA;Tipo II-C;Conj. Caetité;Espigão;BAEPGO;EOL.CV.BA.030803-0.01;2025-05-01 00:30:00;14.408;0.0;9.107;8.996
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Facheio;BAEFAC;EOL.CV.BA.032101-0.01;2025-05-01 00:30:00;14.632;0.0;14.194;10.333
NE;BA;Tipo II-C;Conj. Pindaí II 230 kV;Folha de Serra;BAEFDS;EOL.CV.BA.031407-2.01;2025-05-01 00:30:00;11.022;0.0;14.293;16.383
NE;BA;Tipo II-C;Conj. Igaporã II;Guanambi;BAUEGB;EOL.CV.BA.030328-3.01;2025-05-01 00:30:00;10.173;0.0;15.567;16.689
NE;BA;Tipo II-C;Conj. Igaporã II;Guirapá;BAUEGP;EOL.CV.BA.030342-9.01;2025-05-01 00:30:00;10.777;0.0;25.786;27.468
NE;BA;Tipo II-C;Conj. Igaporã II;Igaporã;BAUEIP;EOL.CV.BA.030321-6.01;2025-05-01 00:30:00;9.09;0.0;22.309;24.16
NE;BA;Tipo II-C;Conj. Igaporã II;Ilhéus;BAUEIH;EOL.CV.BA.030315-1.01;2025-05-01 00:30:00;9.417;0.0;8.946;9.57
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Imburana Macho;BAEIBM;EOL.CV.BA.032102-8.01;2025-05-01 00:30:00;16.51;0.0;2.242;0.0
NE;BA;Tipo II-C;Conj. BW Guirapá I;Inhambu;BAEINH;EOL.CV.BA.030751-3.01;2025-05-01 00:30:00;12.542;0.0;27.927;29.479
NE;BA;Tipo II-C;Conj. GPEXPAN;Inhambú 2;BAEIM2;EOL.CV.BA.032487-6.01;2025-05-01 00:30:00;14.323;0.0;15.539;15.823
NE;BA;Tipo II-C;Conj. Pindaí II 230 kV;Jabuticaba;BAEJAB;EOL.CV.BA.031405-6.01;2025-05-01 00:30:00;23.264;0.0;3.109;5.232
NE;BA;Tipo II-C;Conj. Pindaí II 230 kV;Jacarandá do Cerrado;BAEJCE;EOL.CV.BA.031408-0.01;2025-05-01 00:30:00;11.115;0.0;14.323;14.46
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Jataí;BAEJAT;EOL.CV.BA.032104-4.01;2025-05-01 00:30:00;13.312;0.0;14.119;9.263
NE;BA;Tipo II-C;Conj. Curva dos Ventos;Joana;BAUEJO;EOL.CV.BA.030801-3.01;2025-05-01 00:30:00;7.015;0.0;9.89;13.838
