t_rel,cpu_pct,cpu_pct_host,proc_cpu_raw,cont_mem_used_gb,proc_rss_gb,ram_used_host_gb,gpu_util_pct,gpu_mem_gb,round
15.009576082229614,100.0,18.7,201.9,3.903900146484375,2.898296356201172,7.439296722412109,78.0,3.9600830078125,1
16.01011347770691,99.95,18.5,199.9,3.9412994384765625,2.8983078002929688,7.446720123291016,77.0,3.91845703125,1
17.01066279411316,98.45,18.5,196.9,3.976776123046875,2.8983116149902344,7.445598602294922,78.0,3.91845703125,1
18.01112675666809,100.0,18.5,201.9,3.985210418701172,2.8986358642578125,7.434734344482422,78.0,3.91845703125,1
19.01163649559021,99.95,18.9,199.9,3.999835968017578,2.8986434936523438,7.440174102783203,78.0,3.91845703125,1
20.012138843536377,98.95,18.5,197.9,3.9995155334472656,2.8986434936523438,7.430309295654297,78.0,3.91845703125,1
21.012717723846436,100.0,18.6,202.9,3.9998703002929688,2.898651123046875,7.430152893066406,78.0,3.91845703125,1
22.013211727142334,99.95,18.1,199.9,3.999267578125,2.8986740112304688,7.456031799316406,77.0,3.923095703125,1
23.013756036758423,99.95,18.7,199.9,3.998302459716797,2.899250030517578,7.460807800292969,78.0,3.923095703125,1
24.014481782913208,99.45,18.7,198.9,3.9995155334472656,2.899261474609375,7.458255767822266,78.0,3.923095703125,1
25.015080451965332,98.95,18.4,197.9,3.9999351501464844,2.899280548095703,7.451759338378906,79.0,3.923095703125,1
26.015652418136597,99.95,17.8,199.9,3.999267578125,2.8992843627929688,7.440956115722656,100.0,3.923095703125,1
27.094852685928345,92.65,18.3,185.3,3.9999351501464844,2.8992843627929688,7.442665100097656,100.0,3.93804931640625,1
28.095893144607544,99.9,19.5,199.8,3.999256134033203,2.899303436279297,7.457592010498047,77.0,3.95709228515625,1
29.096922397613525,100.0,18.6,200.8,3.9995079040527344,2.899303436279297,7.460533142089844,77.0,3.953125,1
30.097477197647095,99.45,17.9,198.9,3.9999923706054688,2.899303436279297,7.448383331298828,77.0,3.952880859375,1
31.097892999649048,99.95,18.5,199.9,3.9997634887695312,2.8993072509765625,7.446659088134766,80.0,3.948974609375,1
32.09835696220398,99.45,18.6,198.9,3.9990234375,2.8993072509765625,7.441192626953125,78.0,3.93865966796875,1
33.098727226257324,66.45,12.8,132.9,3.9999961853027344,2.9113998413085938,7.452594757080078,2.0,3.9254150390625,1
0.0002841949462890625,0.0,0.0,0.0,3.9999046325683594,2.9175453186035156,7.423992156982422,2.0,3.9254150390625,2
1.0008292198181152,100.0,19.4,201.9,3.9999122619628906,2.9263648986816406,7.432441711425781,78.0,3.9254150390625,2
2.0013206005096436,99.95,18.5,199.9,3.9998855590820312,2.9266357421875,7.426723480224609,78.0,3.9254150390625,2
3.0119762420654297,99.95,18.5,199.9,3.9997406005859375,2.926654815673828,7.418373107910156,55.0,3.9254150390625,2
4.012637138366699,98.45,19.3,196.9,3.999988555908203,2.9266624450683594,7.406696319580078,100.0,3.96240234375,2
5.013257265090942,99.95,19.6,199.9,3.9992828369140625,2.9266815185546875,7.4114837646484375,78.0,3.9732666015625,2
6.015059947967529,99.95,19.5,199.9,3.9987869262695312,2.926910400390625,7.41278076171875,78.0,3.97314453125,2
