Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;PA;XINGUARA;POSTO CASTANHEIRAS LTDA;05.013.115/0001-34;AVENIDA XINGU;151;;CENTRO;68555-011;ETANOL;01/07/2004;1,99;;R$ / litro;BRANCA
N;PA;XINGUARA;POSTO CASTANHEIRAS LTDA;05.013.115/0001-34;AVENIDA XINGU;151;;CENTRO;68555-011;DIESEL;01/07/2004;1,53;1,3732;R$ / litro;BRANCA
N;PA;XINGUARA;AUTO POSTO COMAXIN LTDA;83.775.676/0001-84;RODOVIA PA 150;SN;;CENTRO;68555-330;GASOLINA;01/07/2004;2,55;;R$ / litro;IPIRANGA
N;PA;XINGUARA;AUTO POSTO COMAXIN LTDA;83.775.676/0001-84;RODOVIA PA 150;SN;;CENTRO;68555-330;DIESEL;01/07/2004;1,53;1,32;R$ / litro;IPIRANGA
N;PA;XINGUARA;S K S COMERCIO DE COMBUSTIVEIS LTDA;05.145.642/0001-00;AVENIDA XINGU;660;;CENTRO;68555-010;GASOLINA;01/07/2004;2,55;2,04;R$ / litro;BRANCA
N;PA;XINGUARA;S K S COMERCIO DE COMBUSTIVEIS LTDA;05.145.642/0001-00;AVENIDA XINGU;660;;CENTRO;68555-010;ETANOL;01/07/2004;1,99;;R$ / litro;BRANCA
N;PA;XINGUARA;S K S COMERCIO DE COMBUSTIVEIS LTDA;05.145.642/0001-00;AVENIDA XINGU;660;;CENTRO;68555-010;DIESEL;01/07/2004;1,6;1,4;R$ / litro;BRANCA
S;PR;CIANORTE;IMPERIO AUTO POSTO LTDA;01.799.549/0001-50;AVENIDA GOIAS;1055;;ARMAZEM;87200-000;GASOLINA;01/07/2004;2,089;;R$ / litro;COSAN LUBRIFICANTES
S;PR;CIANORTE;IMPERIO AUTO POSTO LTDA;01.799.549/0001-50;AVENIDA GOIAS;1055;;ARMAZEM;87200-000;ETANOL;01/07/2004;0,989;;R$ / litro;COSAN LUBRIFICANTES
S;PR;CIANORTE;IMPERIO AUTO POSTO LTDA;01.799.549/0001-50;AVENIDA GOIAS;1055;;ARMAZEM;87200-000;DIESEL;01/07/2004;1,499;;R$ / litro;COSAN LUBRIFICANTES
