Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S13958100024,08/19/2013,3790,Wal-Mart 0784 / Mt Pleasan,1045 N GRAND AVE,MT PLEASANT,52641,POINT (-91.539034 40.978416),44,Henry,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,18.49,27.74,12,332.88,9.00,2.38
S16903000020,01/20/2014,4019,Wal-Mart 1506 / Manchester,1220 WEST MAIN,MANCHESTER,52057,,28,Delaware,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,4.83,7.44,12,89.28,9.00,2.38
S29250200004,11/24/2015,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,,77,Polk,1012210,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5061,Glenlivet 15 Year French Oak,6,750,29.98,44.97,2,89.94,1.50,0.40
S11804800017,04/23/2013,4684,Indy 66 #928 / Indianola,1201 N JEFFERSON,INDIANOLA,50125,,91,Warren,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12466,Canadian Mist Whisky,12,750,5.44,8.15,2,16.30,1.50,0.40
S22347200025,11/12/2014,4597,Quik Trip #523 / Army Post DM,850 ARMY POST RD,DES MOINES,50315,POINT (-93.62509300000002 41.526428),77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,25603,Seagrams 7 Crown Bl Whiskey,48,200,1.96,2.94,8,23.52,1.60,0.42
S18088100155,03/26/2014,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,65,Jim Beam Brands,73526,Dekuyper Melon Liqueur,12,750,6.30,9.45,4,37.80,3.00,0.79
S13653100039,07/31/2013,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,POINT (-96.420193 42.510535),97,Woodbury,1022100,TEQUILA,434,Luxco-St Louis,87937,Juarez Tequila Silver,12,1000,6.67,10.00,24,240.00,24.00,6.34
S06718800085,07/23/2012,2564,Hy-Vee Food Store #4 / Waterloo,4000 UNIVERSITY,WATERLOO,50701,POINT (-92.403843 42.505197),07,Black Hawk,1011500,STRAIGHT RYE WHISKIES,260,Diageo Americas,27025,Bulleit 95 Rye,12,750,14.84,22.26,3,66.78,2.25,0.59
S07675600005,09/11/2012,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081600,WHISKEY LIQUEUR,259,Heaven Hill Brands,86796,Southern Host Whiskey Liqueur,12,750,4.83,7.25,12,87.00,9.00,2.38
S09547600045,12/18/2012,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41698,Uv Ivory (vanilla) Vodka,12,750,6.25,9.49,12,113.88,9.00,2.38
